Date,Close,Open,High,Low,Vol.,Change %
2/5/10,1.3664,1.3729,1.3748,1.3586,,-0.52%
2/4/10,1.3736,1.389,1.3905,1.3727,,-1.17%
2/3/10,1.3899,1.3963,1.4026,1.3889,,-0.46%
2/2/10,1.3963,1.3931,1.3977,1.3887,,0.24%
2/1/10,1.3929,1.3864,1.3939,1.3851,,0.47%
1/29/10,1.3864,1.3973,1.399,1.3861,,-0.71%
1/28/10,1.3963,1.4021,1.4053,1.3936,,-0.40%
1/27/10,1.4019,1.4075,1.4098,1.3994,,-0.40%
1/26/10,1.4076,1.415,1.4181,1.4042,,-0.54%
1/25/10,1.4152,1.4161,1.4199,1.4128,,0.10%
1/22/10,1.4138,1.408,1.4182,1.4065,,0.33%
1/21/10,1.4091,1.4106,1.4144,1.4026,,-0.07%
1/20/10,1.4101,1.4291,1.4297,1.4078,,-1.40%
1/19/10,1.4301,1.4385,1.4415,1.4251,,-0.59%
1/18/10,1.4386,1.434,1.4403,1.4334,,0.01%
1/15/10,1.4385,1.4504,1.4514,1.4338,,-0.81%
1/14/10,1.4503,1.451,1.4556,1.4446,,-0.06%
1/13/10,1.4512,1.4484,1.4584,1.4456,,0.12%
1/12/10,1.4495,1.4514,1.4548,1.4453,,-0.13%
1/11/10,1.4514,1.4432,1.4558,1.4407,,0.70%
1/8/10,1.4413,1.432,1.444,1.4263,,0.66%
1/7/10,1.4318,1.4407,1.4447,1.4295,,-0.66%
1/6/10,1.4413,1.4364,1.4436,1.4282,,0.31%
1/5/10,1.4369,1.4409,1.4484,1.4346,,-0.31%
1/4/10,1.4413,1.4325,1.4457,1.4257,,0.61%
1/1/10,1.4326,1.4328,1.433,1.4322,,0.06%
12/31/09,1.4318,1.4339,1.4442,1.4306,,-0.12%
12/30/09,1.4335,1.4352,1.4364,1.4274,,-0.13%
12/29/09,1.4354,1.4377,1.446,1.4332,,-0.20%
12/28/09,1.4383,1.4376,1.4415,1.4354,,-0.10%
12/25/09,1.4397,1.4376,1.4436,1.4363,,0.15%
12/24/09,1.4375,1.4335,1.4419,1.4322,,0.34%
12/23/09,1.4327,1.4251,1.4367,1.4234,,0.54%
12/22/09,1.425,1.4283,1.4333,1.4217,,-0.24%
12/21/09,1.4284,1.4305,1.4374,1.4267,,-0.41%
12/18/09,1.4343,1.4339,1.4413,1.4259,,-0.01%
12/17/09,1.4345,1.4535,1.4537,1.4303,,-1.32%
12/16/09,1.4537,1.4535,1.459,1.4503,,0.01%
12/15/09,1.4536,1.4658,1.4666,1.4504,,-0.82%
12/14/09,1.4656,1.4625,1.4686,1.4597,,0.23%
12/11/09,1.4623,1.4733,1.4777,1.4585,,-0.76%
12/10/09,1.4735,1.4726,1.4762,1.4685,,0.05%
12/9/09,1.4727,1.4706,1.4785,1.467,,0.19%
12/8/09,1.4699,1.4821,1.4867,1.468,,-0.81%
12/7/09,1.4819,1.4853,1.4905,1.4756,,-0.22%
12/4/09,1.4851,1.505,1.5091,1.4819,,-1.45%
12/3/09,1.507,1.5044,1.5143,1.5042,,0.16%
12/2/09,1.5046,1.5084,1.5111,1.5031,,-0.28%
12/1/09,1.5088,1.5006,1.5118,1.497,,0.53%
11/30/09,1.5009,1.5011,1.5085,1.4964,,0.28%
11/27/09,1.4967,1.5021,1.5024,1.4828,,-0.31%
11/26/09,1.5013,1.5132,1.5143,1.4958,,-0.84%
11/25/09,1.514,1.496,1.5145,1.4954,,1.20%
